"name","symbol","trading_name","isin"
"Abdullah Al Othaim Markets Co.","4001","A.OTHAIM MARKET","SA1230K1UGH7"
"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","4191","ABO MOATI","SA14TGAI1FH7"
"Abdulmohsen Alhokair Group for Tourism and Development","1820","ALHOKAIR GROUP","SA13IG50SE12"
"ACWA POWER Co.","2082","ACWA POWER","SA15CGS10H12"
"Ades Holding Co.","2382","ADES","SA55SG6H5716"
"Advanced Petrochemical Co.","2330","ADVANCED","SA000A0LE310"
"Al Gassim Investment Holding Co.","6020","GACO","SA0007879576"
"Al Hammadi Holding","4007","ALHAMMADI","SA13J051UJH4"
"Al Hassan Ghazi Ibrahim Shaker Co.","1214","SHAKER","SA12I0OGIV12"
"Al Jouf Cement Co.","3091","JOUF CEMENT","SA12JG51G9H8"
"Al Kathiri Holding Co.","3008","ALKATHIRI","SA14T12HF015"
"AL Maather REIT Fund","4334","AL MAATHER REIT","SA14BG523N54"
"Al Mawarid Manpower Co.","1833","ALMAWARID","SA15QH00SKH0"
"Al Moammar Information Systems Co.","7200","MIS","SA14PGMJGG18"
"Al Rajhi Bank","1120","ALRAJHI","SA0007879113"
"Al Rajhi REIT Fund","4340","AL RAJHI REIT","SA14GG523Q50"
"Al Sagr Cooperative Insurance Co.","8180","ALSAGR INSURANCE","SA11T053VQ13"
"Al Taiseer Group Talco Industrial Co.","4143","TALCO","SA162GLI0NH7"
"Al Yamamah Steel Industries Co.","1304","ALYAMAMAH STEEL","SA1420I0KC11"
"Al-Babtain Power and Telecommunication Co.","2320","ALBABTAIN","SA000A0LEF64"
"Al-Baha Investment and Development Co.","4130","ALBAHA","SA0007879667"
"Al-Etihad Cooperative Insurance Co.","8170","ALETIHAD","SA11T053VL18"
"Al-Jouf Agricultural Development Co.","6070","ALJOUF","SA0007879626"
"Al-Omran Industrial Trading Co.","4141","ALOMRAN","SA153H820MH5"
"Al-Rajhi Company for Cooperative Insurance","8230","ALRAJHI TAKAFUL","SA12A0540J14"
"AlAhli REIT Fund 1","4338","ALAHLI REIT 1","SA14E0523P52"
"Alamar Foods Co.","6014","ALAMAR","SA15JHPITV18"
"Alandalus Property Co.","4320","ALANDALUS","SA13U0923G19"
"Aldawaa Medical Services Co.","4163","ALDAWAA","SA15H14I11H6"
"Aldrees Petroleum and Transport Services Co.","4200","ALDREES","SA000A0HNGZ6"
"Alinma Bank","1150","ALINMA","SA122050HV19"
"Alinma Hospitality REIT Fund","4349","ALINMA HOSPITALITY REIT","SA15L0523UH6"
"Alinma Retail REIT Fund","4345","ALINMA RETAIL REIT","SA14HG523SL1"
"Alistithmar AREIC Diversified REIT Fund","4350","ALISTITHMAR REIT","SA1620523V54"
"AlJazira REIT","4331","ALJAZIRA REIT","SA148G523LL8"
"Aljazira Takaful Taawuni Co.","8012","JAZIRA TAKAFUL","SA13AG53T618"
"Alkhabeer REIT Fund","4348","ALKHABEER REIT","SA14LG523U13"
"Alkhaleej Training and Education Co.","4290","ALKHALEEJ TRNG","SA11TH0I3111"
"Alkhorayef Water and Power Technologies Co.","2081","AWPT","SA1591410GH0"
"Allianz Saudi Fransi Cooperative Insurance Co.","8040","ALLIANZ SF","SA000A0MLUG1"
"Allied Cooperative Insurance Group","8150","ACIG","SA000A0SR838"
"Almarai Co.","2280","ALMARAI","SA000A0ETHT1"
"Almasane Alkobra Mining Co.","1322","AMAK","SA15HG50KL10"
"Almunajem Foods Co.","4162","ALMUNAJEM","SA15DGU21117"
"AlSaif Stores for Development and Investment Co.","4192","ALSAIF GALLERY","SA15M1PI1G19"
"Alujain Corp.","2170","ALUJAIN","SA0007879345"
"Amana Cooperative Insurance Co.","8310","AMANA INSURANCE","SA12HG541R18"
"Americana Restaurants International PLC - Foreign Company","6015","AMERICANA","AEE01135A222"
"Amlak International Finance Co.","1182","AMLAK","SA153G80IF11"
"Anaam International Holding Group","4061","ANAAM HOLDING","SA0007870088"
"Arab National Bank","1080","ANB","SA0007879105"
"Arab Sea Information System Co.","7201","ARAB SEA","SA1520CJGGH7"
"Arabia Insurance Cooperative Co.","8160","AICC","SA11T053VG15"
"Arabian Cement Co.","3010","ACC","SA0007879915"
"Arabian Centres Co.","4321","CENOMI CENTERS","SA14QG523GH3"
"Arabian Contracting Services Co.","4071","ALARABIA","SA15D1I1VJH7"
"Arabian Drilling Co.","2381","ARABIAN DRILLING","SA15L1I156H7"
"Arabian Internet and Communications Services Co.","7202","SOLUTIONS","SA15CIBJGH12"
"Arabian Pipes Co.","2200","APC","SA0007879378"
"Arabian Shield Cooperative Insurance Co.","8070","ARABIAN SHIELD","SA000A0MLUH9"
